gen_model,fit_model,sim_idx,gen_idx,loo_elpd,rhat_max,ess_min
win stay lose shift,expected gain naive,19,0,-6541.082259780394,1.0163985515966987,208.8328185972332
win stay lose shift,marginal value,19,0,-6542.998138770474,1.0224556434979815,239.30644321032594
win stay lose shift,multi-heuristic policy,19,0,-6510.084163142092,1.008281446927971,538.3115260171576
win stay lose shift,optimal policy values,19,0,-6535.439915519104,1.008219165574028,271.77325669254617
win stay lose shift,win stay lose shift,20,0,-6711.900936046395,1.0093743141312819,539.440021009702
win stay lose shift,** wait when safe,20,0,-6911.613228612541,1.008802993308674,244.72127166044586
win stay lose shift,** binary energy state,20,0,-6904.377037064766,1.0102400610078903,392.8481671997209
win stay lose shift,weather type,20,0,-6918.502342302303,1.0105125125945413,375.83839223356057
win stay lose shift,* $\mathit{r}$ predator,20,0,-6918.233626021714,1.0308597832752593,201.95634326194397
win stay lose shift,* $\mathit{p}$ gain,20,0,-6918.65212715708,1.008395603529991,392.38815801265395
win stay lose shift,expected gain naive,20,0,-6918.919321370074,1.004594950248731,373.144658704027
win stay lose shift,marginal value,20,0,-6917.8161421223585,1.0083617395759579,463.9747602488482
win stay lose shift,multi-heuristic policy,20,0,-6907.30623478567,1.012790594085409,479.55266563824387
win stay lose shift,optimal policy values,20,0,-6911.233354806534,1.0198437160079976,306.9572261543135
win stay lose shift,win stay lose shift,21,0,-6450.624633154668,1.004007980966253,528.0716209673116
win stay lose shift,** wait when safe,21,0,-6667.5692061804475,1.0089752949193553,254.9393435293917
win stay lose shift,** binary energy state,21,0,-6672.926159603567,1.0250981649932136,204.1010797049315
win stay lose shift,weather type,21,0,-6679.037026341766,1.0154851913372047,236.9951269768951
win stay lose shift,* $\mathit{r}$ predator,21,0,-6678.67199249361,1.033558116008955,205.88260857455435
win stay lose shift,* $\mathit{p}$ gain,21,0,-6673.885323711852,1.0113101777833267,211.3496392802171
win stay lose shift,expected gain naive,21,0,-6676.786306017051,1.0281464116352006,212.53242080727006
win stay lose shift,marginal value,21,0,-6676.758821462497,1.0185114486926814,255.13655309887574
win stay lose shift,multi-heuristic policy,21,0,-6668.843327711595,1.0088209773831187,312.0491374410591
win stay lose shift,optimal policy values,21,0,-6672.9912343017095,1.030737283844622,160.29093952234538
win stay lose shift,win stay lose shift,22,0,-6592.885561641888,1.0057729552894172,376.1535516078634
win stay lose shift,** wait when safe,22,0,-6788.4500225663305,1.0129587365767643,312.53997730072
win stay lose shift,** binary energy state,22,0,-6781.281105516298,1.0156781350177717,239.66698761111596
win stay lose shift,weather type,22,0,-6786.728749292897,1.0164214380065997,209.40288793794787
win stay lose shift,* $\mathit{r}$ predator,22,0,-6789.120928875991,1.0141453877627644,265.1480121590035
win stay lose shift,* $\mathit{p}$ gain,22,0,-6789.348268429927,1.0120931298190623,283.45594228492246
win stay lose shift,expected gain naive,22,0,-6789.208331895772,1.0315838056852797,236.07218497947872
win stay lose shift,marginal value,22,0,-6789.0410989609845,1.01643094061932,331.09447457936295
win stay lose shift,multi-heuristic policy,22,0,-6791.468039959638,1.0099182578933408,294.32656298016894
win stay lose shift,optimal policy values,22,0,-6787.384225396568,1.0146913568348546,344.3726632206958
win stay lose shift,win stay lose shift,23,0,-6516.620184669873,1.0112969914576422,363.79717858188394
win stay lose shift,** wait when safe,23,0,-6816.5525547765965,1.0175784377266845,280.67216689344605
win stay lose shift,** binary energy state,23,0,-6818.783443918353,1.0059136529300594,321.0610073829134
win stay lose shift,weather type,23,0,-6822.890435050466,1.0068804838877068,352.38568378885526
win stay lose shift,* $\mathit{r}$ predator,23,0,-6822.134753202254,1.0140899751049066,306.36894031748506
win stay lose shift,* $\mathit{p}$ gain,23,0,-6820.7584915570205,1.010768229034377,260.6557909563512
win stay lose shift,expected gain naive,23,0,-6818.006884431722,1.0239164138214687,320.37162655512003
win stay lose shift,marginal value,23,0,-6819.818302249141,1.0182407882902418,337.0961842259565
win stay lose shift,multi-heuristic policy,23,0,-6816.232718303802,1.010566602740199,264.7402930762419
win stay lose shift,optimal policy values,23,0,-6820.233325769603,1.0260042517195351,235.58024210934883
win stay lose shift,win stay lose shift,24,0,-6668.841404884577,1.0071261282290476,456.0921159575812
win stay lose shift,** wait when safe,24,0,-6844.473191276108,1.0136829405403427,346.37113186598265
win stay lose shift,** binary energy state,24,0,-6842.1392775653985,1.0086701200428334,276.67833877112446
win stay lose shift,weather type,24,0,-6848.288443591316,1.014882466336434,355.6653243652327
win stay lose shift,* $\mathit{r}$ predator,24,0,-6848.84384449312,1.0141448106448379,329.17611567126494
win stay lose shift,* $\mathit{p}$ gain,24,0,-6846.983655827671,1.0122810104087667,307.0354974558052
win stay lose shift,expected gain naive,24,0,-6846.771800828692,1.0089541775111217,314.0198561667376
win stay lose shift,marginal value,24,0,-6847.772684321753,1.0231096784024878,307.64940540746596
win stay lose shift,multi-heuristic policy,24,0,-6845.8652326907995,1.0247730667394448,238.77292439340368
win stay lose shift,optimal policy values,24,0,-6843.851477963894,1.0096407113794497,359.94300961079296
win stay lose shift,win stay lose shift,25,0,-6576.014307801288,1.011927445470443,327.9394259486993
win stay lose shift,** wait when safe,25,0,-6745.896704951657,1.0064022447846388,411.75002077709496
win stay lose shift,** binary energy state,25,0,-6739.852571408963,1.0332798846249338,180.21369027721394
win stay lose shift,weather type,25,0,-6746.300959456397,1.020898941847837,211.92339318353575
win stay lose shift,* $\mathit{r}$ predator,25,0,-6747.608399429906,1.0148785933024278,198.42210486082163
win stay lose shift,* $\mathit{p}$ gain,25,0,-6747.1158845071295,1.0173143072904196,248.61841653055964
win stay lose shift,expected gain naive,25,0,-6746.072619398397,1.0272478783420138,195.28252301574886
win stay lose shift,marginal value,25,0,-6747.537368994305,1.018953371138784,252.14948773330434
win stay lose shift,multi-heuristic policy,25,0,-6747.758437132868,1.0086633749657707,431.4573526844252
win stay lose shift,optimal policy values,25,0,-6744.283231971736,1.0276918119555434,136.02294291888524
win stay lose shift,win stay lose shift,26,0,-6679.133852226887,1.0080423477052265,402.0320100813288
win stay lose shift,** wait when safe,26,0,-6847.014397445051,1.0137499148918898,364.9154677686716
win stay lose shift,** binary energy state,26,0,-6846.084006149806,1.011383560183604,252.8643310444399
win stay lose shift,weather type,26,0,-6850.185215677123,1.0141006636824847,347.5635770558315
win stay lose shift,* $\mathit{r}$ predator,26,0,-6851.64666182544,1.0086221017845467,244.85889146395635
win stay lose shift,* $\mathit{p}$ gain,26,0,-6850.701467845021,1.0161643826526499,266.88222337105213
win stay lose shift,expected gain naive,26,0,-6849.486968199815,1.0143034358233862,332.57178092337836
win stay lose shift,marginal value,26,0,-6851.022842852766,1.01262655787149,254.21445153352522
win stay lose shift,multi-heuristic policy,26,0,-6848.298888255103,1.0184617815459138,187.82474544947334
win stay lose shift,optimal policy values,26,0,-6849.851236018465,1.0267852714400612,185.21038765550247
win stay lose shift,win stay lose shift,27,0,-6484.744685091035,1.0064480896743302,472.21236832486767
win stay lose shift,** wait when safe,27,0,-6600.565370482571,1.0060508217054764,344.7319773095101
win stay lose shift,** binary energy state,27,0,-6593.951643663277,1.0172142805933395,197.12882166220908
win stay lose shift,weather type,27,0,-6604.00283678145,1.0103483387284191,141.45326628629337
win stay lose shift,* $\mathit{r}$ predator,27,0,-6604.0716312475615,1.0184314055187453,215.92946888154455
win stay lose shift,* $\mathit{p}$ gain,27,0,-6601.749736218137,1.0251404519931107,152.84661182825516
win stay lose shift,expected gain naive,27,0,-6603.52622954097,1.0067932073445511,263.5524786974938
win stay lose shift,marginal value,27,0,-6604.0623693598245,1.0289121405199089,170.02138645586547
win stay lose shift,multi-heuristic policy,27,0,-6597.142047530626,1.005257777739783,357.17475485719723
win stay lose shift,optimal policy values,27,0,-6602.853569014786,1.0221258213428221,181.3223577213452
win stay lose shift,win stay lose shift,28,0,-6704.526365197372,1.013034029554855,367.1287267216105
win stay lose shift,** wait when safe,28,0,-6854.63815759477,1.0103166319302463,369.9911178235266
win stay lose shift,** binary energy state,28,0,-6854.007877168149,1.0077790323472895,336.8510715238498
win stay lose shift,weather type,28,0,-6857.593433119617,1.0221806755270724,246.1446436202294
