foraenv1,foraenv1,foraenv1,foraenv1,foraenv1,foraenv1,foraenv1,foraenv2,foraenv2,foraenv2,foraenv2,foraenv2,foraenv2,foraenv2,waitenv1,waitenv1,waitenv1,waitenv1,waitenv1,waitenv1,waitenv1,waitenv2,waitenv2,waitenv2,waitenv2,waitenv2,waitenv2,waitenv2
-1.0,-0.8944457850205763,-0.7676825705349795,-0.6521215882944673,-0.41593351374485604,-0.32114079078189306,-0.22722560682822746,-1.0,-0.9348430771731951,-0.85659417934258,-0.7186982454120026,-0.5546692971599858,-0.3924582163288117,-0.2870089946089971,-1.0,-1.0,-0.8315149519890261,-0.7800953854595336,-0.5160053552812072,-0.38757667428745624,0.0,-1.0,-1.0,-0.8315149519890261,-0.7800953854595336,-0.5160053552812072,-0.38757667428745624,0.0
-1.0,-0.9038074054057614,-0.8489967600895527,-0.7163515465172586,-0.608892681439862,-0.37925092564543583,-0.28619220241481713,-1.0,-0.9406218551887415,-0.9067881235120696,-0.7911876434686824,-0.6804586419911148,-0.49501314642362104,-0.3522866926951189,-1.0,-1.0,-0.9146444310968858,-0.7995987612620028,-0.6854099168532349,-0.46596943451303163,-0.35435873253467465,-1.0,-1.0,-0.9146444310968858,-0.7995987612620028,-0.6854099168532349,-0.46596943451303163,-0.35435873253467465
-1.0,-0.9413883720643894,-0.8818094055966259,-0.804552999318555,-0.668221393873742,-0.5700196935842975,-0.510285065573935,-1.0,-0.963819982755796,-0.9270428429608801,-0.8486236806844419,-0.7479186814940224,-0.6388113491011004,-0.5603716649209805,-1.0,-1.0,-0.9222146302972515,-0.8778924418008112,-0.7537695949929706,-0.6446756617154884,-0.42261018007923373,-1.0,-1.0,-0.9222146302972515,-0.8778924418008112,-0.7537695949929706,-0.6446756617154884,-0.42261018007923373
-1.0,-0.9529657686145305,-0.9167624032007192,-0.8447069548594932,-0.7692841314695344,-0.6477635588278995,-0.5947529664971742,-1.0,-0.97096652383613,-0.9486187674078513,-0.8854158200012052,-0.8194566292638108,-0.715271516092543,-0.6366580393918697,-1.0,-1.0,-0.9526041774100926,-0.9020120179469386,-0.8265883400014984,-0.7080700376838822,-0.6044155213426989,-1.0,-1.0,-0.9526041774100926,-0.9020120179469386,-0.8265883400014984,-0.7080700376838822,-0.6044155213426989
-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.0,-0.5555555555555556,-0.5555555555555556,-0.3333333333333333,0.0,0.0,0.0,-1.0,-0.8024691358024691,-0.8024691358024691,-0.1111111111111111,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
-1.0,-0.5555555555555556,-0.5555555555555556,-0.48422496570644713,-0.22633744855967078,0.0,0.0,-1.0,-0.8024691358024691,-0.8024691358024691,-0.5805517451607987,-0.07544581618655692,0.0,0.0,-1.0,-1.0,-0.6790123456790124,0.0,0.0,0.0,0.0,-1.0,-1.0,-0.6790123456790124,0.0,0.0,0.0,0.0
-1.0,-0.8299039780521262,-0.5555555555555556,-0.48422496570644713,-0.36351165980795613,-0.205761316872428,0.0,-1.0,-0.9244017680231671,-0.8024691358024691,-0.5805517451607987,-0.5022100289590001,-0.06858710562414266,0.0,-1.0,-1.0,-0.6790123456790124,-0.617283950617284,0.0,0.0,0.0,-1.0,-1.0,-0.6790123456790124,-0.617283950617284,0.0,0.0,0.0
-1.0,-0.8299039780521262,-0.7921726024149436,-0.528256194008366,-0.4295585022608342,-0.324069840302122,-0.17746278514454095,-1.0,-0.9244017680231671,-0.9076322677399749,-0.717537788766768,-0.5242256431099594,-0.43665806740541274,-0.05915426171484699,-1.0,-1.0,-0.8771528730376467,-0.617283950617284,-0.5323883554336228,0.0,0.0,-1.0,-1.0,-0.8771528730376467,-0.617283950617284,-0.5323883554336228,0.0,0.0
-1.0,-0.9265167723227978,-0.8101200321390334,-0.7402082263129868,-0.47786489939617005,-0.4055031508671706,-0.29689937358991875,-1.0,-0.9673407876990212,-0.9156089031729037,-0.8117386920132661,-0.6745122119754486,-0.48872948998833154,-0.3933442805086129,-1.0,-1.0,-0.8771528730376467,-0.8346627377262952,-0.5727700723128251,-0.4768920726853968,0.0,-1.0,-1.0,-0.8771528730376467,-0.8346627377262952,-0.5727700723128251,-0.4768920726853968,0.0
-1.0,-0.9305050900392623,-0.9004326485169452,-0.77723638927109,-0.6992055213682827,-0.45365069734347474,-0.3753950387998194,-1.0,-0.9691133733507832,-0.9557478437853089,-0.869544338941764,-0.7756192858452562,-0.6302128615608659,-0.4494017325965432,-1.0,-1.0,-0.9469287800109095,-0.84363645258834,-0.7759734591631264,-0.5253174858544976,-0.4411976117762837,-1.0,-1.0,-0.9469287800109095,-0.84363645258834,-0.7759734591631264,-0.5253174858544976,-0.4411976117762837
-1.0,-0.9660803174506345,-0.9157495204132067,-0.872140897535236,-0.7394139433343186,-0.6694555873114909,-0.6154799301283211,-1.0,-0.9849245855336153,-0.9625553424058696,-0.913431054723822,-0.8408166487607273,-0.7435840395684963,-0.6805155999377204,-1.0,-1.0,-0.9498092316950227,-0.9236807142639274,-0.810436420929715,-0.7374124036067695,-0.48948409159898615,-1.0,-1.0,-0.9498092316950227,-0.9236807142639274,-0.810436420929715,-0.7374124036067695,-0.48948409159898615
-1.0,-0.9701241671351621,-0.9523493227242352,-0.8945228479458132,-0.8450891209356806,-0.7268718274241497,-0.6873494065609518,-1.0,-0.986721852060072,-0.9788219212107712,-0.93860419997125,-0.8922235932074769,-0.8175651174484498,-0.7316374006190429,-1.0,-1.0,-0.9755024514921249,-0.9327793760541148,-0.892785976129529,-0.7749251821320169,-0.7034339954591302,-1.0,-1.0,-0.9755024514921249,-0.9327793760541148,-0.892785976129529,-0.7749251821320169,-0.7034339954591302
-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.0,-0.5555555555555556,-0.5555555555555556,-0.3333333333333333,0.0,0.0,0.0,-1.0,-0.73,-0.73,-0.1,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
-1.0,-0.5555555555555556,-0.5555555555555556,-0.47617283950617284,-0.21425925925925926,0.0,0.0,-1.0,-0.73,-0.73,-0.50495,-0.06427777777777778,0.0,0.0,-1.0,-1.0,-0.6427777777777778,0.0,0.0,0.0,0.0,-1.0,-1.0,-0.6427777777777778,0.0,0.0,0.0,0.0
